regWord,ipaWord,formality,formalityScore,totalSentenceCount
memories,mɛməriz,0,0.269231,26
mutual,mjutʃəwəl,0,0.269231,26
photography,fətagrəfi,0,0.192308,26
pumpkin,pəmpkən,0,0.0769231,26
searched,sərtʃt,0,0.153846,26
regret,rɪgrɛt,0,0.12,25
audio,adio,0,0.08,25
blah,bla,0,0,25
clients,klajənts,0,0.24,25
default,dəfɔlt,0,0.04,25
delicious,dəlɪʃəs,0,0.12,25
explore,ɪksplɔr,0,0.2,25
guessing,gɛsɪŋ,0,0.2,25
idiot,ɪdiət,0,0.08,25
jealous,dʒɛləs,0,0.04,25
karma,karmə,0,0,25
lab,læb,0,0.08,25
launch,lɔntʃ,0,0.28,25
sights,sajts,0,0.24,25
skip,skɪp,0,0.08,25
symptoms,sɪmptəmz,0,0.24,25
submission,səbmɪʃən,0,0.0833333,24
tastes,tests,0,0.291667,24
therapy,θɛrəpi,0,0.125,24
usage,jusədʒ,0,0.291667,24
vanilla,vənɪlə,0,0.0833333,24
winner,wɪnər,0,0.25,24
abortion,əbɔrʃən,0,0.125,24
beans,binz,0,0.291667,24
browser,brawzər,0,0,24
cares,kɛrz,0,0.25,24
costume,kastum,0,0.208333,24
medication,mɛdəkeʃən,0,0.0833333,24
mod,mɔd,0,0,24
monster,manstər,0,0.25,24
pet,pɛt,0,0.125,24
scary,skɛri,0,0.0416667,24
embarrassed,ɛmbɛrəst,0,0.291667,24
finishing,fɪnɪʃɪŋ,0,0.291667,24
flip,flɪp,0,0.125,24
freshman,frɛʃmən,0,0.166667,24
frustrating,frəstretɪŋ,0,0.125,24
grocery,grosəri,0,0.208333,24
infinite,ɪnfənət,0,0.0833333,24
invite,ɪnvajt,0,0.291667,24
lame,lem,0,0.0833333,24
editing,ɛdətɪŋ,0,0.217391,23
filter,fɪltər,0,0.217391,23
graphic,græfɪk,0,0.0869565,23
hates,hets,0,0.0869565,23
humans,hjumənz,0,0.26087,23
introduce,ɪntrədus,0,0.173913,23
abilities,əbɪlətiz,0,0.26087,23
albums,ælbəmz,0,0.0869565,23
atheists,eθiəsts,0,0.173913,23
bud,bəd,0,0.26087,23
comic,kamɪk,0,0.217391,23
deadline,dɛdlajn,0,0.217391,23
delete,dəlit,0,0,23
shield,ʃild,0,0.217391,23
stops,staps,0,0.217391,23
tricks,trɪks,0,0.217391,23
versions,vərʒənz,0,0.26087,23
wireless,wajrləs,0,0,23
yeast,jist,0,0.0869565,23
nasty,næsti,0,0.130435,23
pants,pænts,0,0.217391,23
reviews,rivjuz,0,0.173913,23
prop,prap,0,0.227273,22
rape,rep,0,0.136364,22
re,re,0,0.0454545,22
backup,bækəp,0,0.0454545,22
climbing,klajmɪŋ,0,0.227273,22
closest,klosəst,0,0.272727,22
deleted,dəlitəd,0,0,22
developer,dɪvɛləpər,0,0.227273,22
disorder,dɪsɔrdər,0,0.227273,22
exploring,ɪksplɔrɪŋ,0,0.181818,22
freak,frik,0,0.136364,22
gender,dʒɛndər,0,0.136364,22
sits,sɪts,0,0.272727,22
spam,spæm,0,0,22
surgery,sərdʒəri,0,0.136364,22
tattoo,tætu,0,0,22
texts,tɛksts,0,0.0909091,22
ups,əps,0,0.0454545,22
sexually,sɛkʃuəli,0,0.285714,21
steal,stil,0,0.142857,21
toys,tɔjz,0,0.285714,21
unsure,ənʃʊr,0,0.047619,21
bags,bægz,0,0.285714,21
beta,betə,0,0.0952381,21
bits,bɪts,0,0.238095,21
depressing,dəprɛsɪŋ,0,0.0952381,21
diagnosed,dajəgnost,0,0.047619,21
disabled,dɪsebəld,0,0.238095,21
photographer,fətagrəfər,0,0.190476,21
pills,pɪlz,0,0.285714,21
potentially,pətɛnʃəli,0,0.142857,21
python,pajθan,0,0.238095,21
relate,rəlet,0,0.142857,21
experiencing,ɪkspɪriənsɪŋ,0,0.238095,21
format,fɔrmæt,0,0.142857,21
genre,ʒanrə,0,0.047619,21
grey,gre,0,0.238095,21
homework,homwərk,0,0,21
implement,ɪmpləmənt,0,0.047619,21
lifting,lɪftɪŋ,0,0.238095,21
forums,fɔrəmz,0,0,20
jeans,dʒinz,0,0.1,20
kills,kɪlz,0,0.25,20
kit,kɪt,0,0.1,20
bye,baj,0,0.1,20
clip,klɪp,0,0.2,20
strangers,strendʒərz,0,0.2,20
sub,səb,0,0.2,20
switching,swɪtʃɪŋ,0,0.25,20
troll,trol,0,0,20
passionate,pæʃənət,0,0.25,20
plugged,pləgd,0,0.15,20
pros,proz,0,0.1,20
punch,pəntʃ,0,0.2,20
resource,risɔrs,0,0.25,20
scenario,sənɛrio,0,0,20
ms,mɪz,0,0.0526316,19
processor,prasɛsər,0,0.263158,19
rely,rəlaj,0,0.263158,19
replacing,rəplesɪŋ,0,0.210526,19
rings,rɪŋz,0,0.157895,19
ale,el,0,0.0526316,19
alpha,ælfə,0,0.210526,19
biology,bajalədʒi,0,0.263158,19
brine,brajn,0,0,19
bucks,bəks,0,0.105263,19
canon,kænən,0,0.157895,19
diamonds,dajməndz,0,0.157895,19
emailed,imeld,0,0,19
est,əstet,0,0.0526316,19
fold,fold,0,0.210526,19
grandma,græma,0,0.157895,19
hobbies,habiz,0,0,19
laying,leɪŋ,0,0.210526,19
slot,slat,0,0.210526,19
spy,spaj,0,0.263158,19
terrified,tɛrəfajd,0,0.210526,19
trek,trɛk,0,0.0526316,19
twin,twɪn,0,0.263158,19
typing,tajpɪŋ,0,0.105263,19
unemployed,ənɛmplɔjd,0,0.210526,19
sexuality,sɛkʃuæləti,0,0.166667,18
solo,solo,0,0.222222,18
stealing,stilɪŋ,0,0.222222,18
sticking,stɪkɪŋ,0,0.277778,18
sucked,səkt,0,0.166667,18
suggesting,səgdʒɛstɪŋ,0,0.222222,18
torch,tɔrtʃ,0,0.0555556,18
torture,tɔrtʃər,0,0.0555556,18
warranty,wɔrənti,0,0.111111,18
wasting,westɪŋ,0,0.222222,18
yelling,jɛlɪŋ,0,0.222222,18
zombies,zambiz,0,0.0555556,18
addiction,ədɪkʃən,0,0.111111,18
avail,əvel,0,0.166667,18
babies,bebiz,0,0.277778,18
baked,bekt,0,0.277778,18
